,이름,연도팀,출장,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,WAR,WPA,ERA,FIP,WHIP,ERA+,FIP
104,장시환,20한,15,15,0,0,15,3,6,0,0,79.1,39,37,355,78,13,1,8,44,0,5,84,0,4,4.20,4.65,1.54,114.1,104.3,1.68,0.01
105,박세웅,20롯,15,15,0,0,15,5,5,0,0,78.0,48,44,350,90,15,0,12,28,0,3,60,0,11,5.08,5.25,1.51,95.8,91.9,0.57,-1.28
106,원태인,20삼,15,15,0,0,14,6,3,0,0,77.2,38,33,344,88,16,1,10,29,1,3,46,0,3,3.82,5.29,1.51,130.4,93.4,1.55,0.04
107,김민우,20한,15,15,0,0,14,2,7,0,0,77.0,41,37,343,69,7,0,10,37,2,5,73,2,4,4.32,4.95,1.38,110.7,97.8,1.43,-0.31
108,이재학,20N,15,15,0,0,15,4,5,0,0,75.0,47,47,334,82,17,1,9,34,0,4,50,1,3,5.64,5.35,1.55,86.9,90.8,0.22,-0.64
109,이승호,20키,15,15,0,0,15,3,4,0,0,72.1,45,43,315,81,12,0,9,26,0,3,50,1,2,5.35,5.04,1.48,88.6,93.3,0.29,-0.02
110,김주온,20S,15,15,0,0,0,0,3,0,0,16.0,12,12,77,22,3,0,2,9,0,3,10,0,0,6.75,6.22,1.94,71.1,78.3,0.04,-0.67
111,황영국,20한,15,15,0,0,0,0,0,0,4,13.2,11,11,67,16,3,0,3,8,1,2,15,0,2,7.24,6.23,1.76,66.1,77.7,-0.03,-0.25
112,김세현,20S,15,15,0,0,0,1,0,0,3,13.1,11,11,64,19,3,0,3,8,0,0,8,0,0,7.43,7.12,2.03,64.6,68.8,-0.12,-0.79
113,하재훈,20S,15,15,0,0,0,1,1,4,0,13.0,13,11,66,19,3,0,2,8,0,0,10,0,1,7.62,5.91,2.08,63.0,82.7,-0.58,-2.12
114,김강률,20두,15,15,0,0,0,1,2,0,0,12.2,10,7,64,15,3,1,0,11,0,3,11,0,0,4.97,5.18,2.05,94.2,91.8,-0.04,-0.18
115,김정훈,20N,15,15,0,0,0,1,1,0,2,12.1,14,14,55,11,3,0,4,9,0,1,13,0,2,10.22,8.14,1.62,48.0,60.1,-0.39,-0.72
116,김택형,20S,15,15,0,0,0,1,0,0,2,11.2,11,11,58,15,2,1,2,9,0,0,12,0,5,8.49,6.08,2.06,56.5,80.4,-0.20,-0.22
117,임창민,20N,15,15,0,0,0,2,1,0,2,11.0,15,13,58,13,4,1,1,9,0,1,13,0,1,10.64,5.14,2.00,46.1,94.0,-0.88,-1.26
118,임찬규,20L,14,14,0,0,13,7,4,0,0,80.0,39,35,343,77,17,0,8,28,0,4,73,0,1,3.94,4.27,1.31,118.8,109.1,1.14,0.26
119,서준원,20롯,14,14,0,0,14,5,4,0,0,70.2,42,38,311,83,9,0,10,22,1,5,37,0,3,4.84,5.50,1.49,100.5,87.7,0.58,-0.36
120,임기영,20K,14,14,0,0,14,6,6,0,0,70.2,44,37,304,80,18,1,7,21,0,4,57,1,2,4.71,4.34,1.43,105.3,113.2,0.58,-0.67
121,이건욱,20S,14,14,0,0,12,4,4,0,0,64.2,31,31,267,51,6,3,6,33,0,3,44,1,3,4.31,5.11,1.30,111.2,95.1,1.33,-0.01
122,권오준,20삼,14,14,0,0,0,0,2,0,0,13.1,13,13,58,17,2,1,2,2,0,0,8,0,0,8.78,4.80,1.43,56.8,103.3,-0.15,-0.47
123,송윤준,20한,14,14,0,0,0,0,0,0,0,12.1,3,3,56,10,3,0,0,9,0,1,12,0,3,2.19,4.09,1.54,218.7,118.4,0.43,0.02
124,권혁,20두,14,14,0,0,0,2,2,0,2,7.0,9,8,34,10,1,1,0,3,0,0,6,0,0,10.29,3.17,1.86,45.6,150.6,-0.41,-0.14
125,구창모,20N,13,13,0,0,13,9,0,0,0,87.0,17,15,324,54,11,0,6,17,0,0,99,0,2,1.55,2.81,0.82,315.7,173.1,4.44,2.82
126,쿠에바스,20K,13,13,0,0,13,5,3,0,0,76.1,33,33,318,67,10,2,7,24,0,6,61,0,1,3.89,4.37,1.19,124.2,108.7,1.69,0.65
127,이민우,20K,13,13,0,0,13,4,5,0,0,72.2,49,45,312,76,13,1,8,24,0,5,46,0,0,5.57,4.96,1.38,89.0,98.6,0.29,-0.92
128,소형준,20K,13,13,0,0,13,6,5,0,0,70.2,43,38,303,75,15,0,6,20,0,3,39,0,1,4.84,4.58,1.34,99.8,104.0,0.33,-0.93
129,최채흥,20삼,13,13,0,0,13,6,2,0,0,68.1,34,26,297,60,14,0,6,28,0,7,55,1,1,3.42,4.67,1.29,145.6,105.3,1.15,0.60
130,차우찬,20L,13,13,0,0,13,5,5,0,0,64.0,39,38,287,71,14,1,8,28,1,2,51,0,1,5.34,4.99,1.55,87.5,93.2,0.34,-0.01
131,김태훈,20S,13,13,0,0,8,1,5,0,0,46.1,30,30,203,41,11,0,4,28,0,3,26,0,6,5.83,5.61,1.49,82.3,86.6,0.30,-0.50
132,김윤식,20L,13,13,0,0,3,0,2,0,1,25.2,22,21,119,32,3,0,5,9,0,4,16,0,1,7.36,6.40,1.60,63.5,72.3,-0.31,-0.62
133,손동현,20K,13,13,0,0,0,0,0,0,1,11.0,7,7,47,12,2,0,3,4,0,0,9,0,3,5.73,6.60,1.46,84.4,71.4,0.09,0.14
134,오주원,20키,13,13,0,0,0,2,1,0,0,8.0,7,6,37,11,1,0,4,0,0,0,7,1,0,6.75,8.35,1.38,70.2,54.6,-0.14,-0.54
