,IDENTIFICATION,PLAYER_DETAIL,POSITIONS,HEIGHT,WEIGHT,SALARY,FIRST_YEAR
181,50990,노학준_1999년 05월 04일,외야수(좌투좌타),182cm,85kg,2700만원,0
182,50992,김태경_2001년 04월 07일,투수(우투우타),188cm,95kg,2700만원,20NC
183,50995,정구범_2000년 06월 16일,투수(좌투좌타),183cm,71kg,2700만원,20NC
184,50996,박시원_2001년 05월 30일,외야수(우투좌타),185cm,85kg,2700만원,20NC
185,60021,이성엽_1988년 04월 12일,내야수(우투좌타),175cm,70kg,0,0
186,60032,김종찬_1987년 07월 22일,외야수(우투우타),188cm,102kg,0,10경찰
187,60036,최석_1987년 06월 02일,외야수(좌투좌타),174cm,79kg,0,0
188,60050,신창명_1988년 02월 02일,외야수(좌투좌타),183cm,79kg,0,0
189,60051,오현민_1987년 05월 21일,투수(우투우타),180cm,83kg,0,10경찰
190,60055,김민겸_1986년 10월 19일,(우투우타),183cm,92kg,0,0
191,60100,백진우_1988년 05월 09일,외야수(우투우타),179cm,79kg,5300만원,10LG
192,60102,이태원_1986년 03월 17일,포수(우투우타),177cm,78kg,0,10LG
193,60105,배민관_1991년 07월 29일,투수(우투우타),185cm,93kg,0,11경찰
194,60106,최우정_1991년 02월 10일,내야수(우투우타),cm,kg,0,0
195,60139,더마트레_1981년 07월 12일,투수(좌투우타),189cm,92kg,0,0
196,60140,신정락_1987년 05월 13일,투수(우언우타),177cm,78kg,12000만원,10LG
197,60146,이승현_1991년 11월 20일,투수(우투우타),181cm,92kg,10000만원,10LG
198,60154,곤잘레스_1983년 02월 23일,투수(우투우타),187cm,98kg,0,0
199,60156,오카모토_1974년 10월 21일,투수(우투우타),183cm,95kg,0,0
200,60164,유경국_1991년 07월 12일,투수(우투우타),177cm,78kg,0,10LG
201,60181,김지용_1988년 02월 20일,투수(우투우타),177cm,81kg,11000만원,10LG
202,60184,김창혁_1991년 05월 17일,포수(우투우타),179cm,80kg,3000만원,15LG
203,60197,유재호_1991년 04월 07일,외야수(우투우타),186cm,90kg,0,11LG
204,60198,이성진_1992년 02월 23일,투수(우투우타),180cm,86kg,0,12LG
205,60240,히메네스_1980년 10월 27일,투수(우투우타),188cm,89kg,0,0
206,60255,장민익_1991년 02월 05일,투수(좌투좌타),207cm,99kg,0,10두산
207,60260,김준호_1991년 12월 09일,외야수(우투우타),185cm,78kg,0,0
208,60263,이재학_1990년 10월 04일,투수(우언우타),181cm,84kg,27500만원,10두산
209,60264,정대현_1991년 07월 19일,투수(좌투좌타),186cm,97kg,4500만원,10두산
210,60265,김상훈_1990년 03월 16일,투수(우투우타),186cm,85kg,0,10두산
211,60288,김응민_1991년 10월 22일,포수(우투우타),178cm,90kg,3200만원,12두산
212,60291,오정환_1987년 12월 09일,내야수(우투우타),cm,kg,0,0
213,60293,윤명운_1991년 02월 13일,투수(우투우타),cm,kg,0,0
214,60295,전준홍_1991년 08월 18일,외야수(좌투좌타),cm,kg,0,0
215,60296,김동길_1987년 03월 01일,내야수(우투우타),179cm,77kg,0,10두산
216,60297,노경우_1987년 09월 05일,투수(우투우타),cm,kg,0,0
217,60304,이창섭_1987년 03월 10일,내야수(우투우타),182cm,77kg,0,10넥센
218,60329,번사이드_1977년 03월 15일,투수(좌투좌타),190cm,95kg,0,0
219,60336,문성현_1991년 11월 09일,투수(우투우타),180cm,87kg,4200만원,10넥센
220,60337,김대유_1991년 05월 08일,투수(좌투좌타),187cm,92kg,4500만원,10넥센
221,60339,김건태_1991년 10월 02일,투수(우투우타),185cm,85kg,9000만원,10넥센
222,60340,장종덕_1987년 10월 29일,내야수(우투우타),182cm,91kg,0,0
223,60342,정회찬_1987년 02월 07일,투수(우투우타),194cm,105kg,0,10넥센
224,60343,이해창_1987년 05월 11일,포수(우투우타),184cm,85kg,5500만원,10넥센
225,60360,최경환_1989년 12월 19일,투수(우언우타),cm,kg,0,0
226,60363,임성학_1987년 05월 08일,외야수(우투우타),179cm,78kg,0,0
227,60367,이성욱_1980년 01월 20일,투수(우투우타),183cm,90kg,0,0
228,60368,안규성_1991년 11월 09일,투수(우언좌타),185cm,86kg,0,0
229,60384,이지풍_1978년 11월 01일,(우투우타),178cm,80kg,0,10넥센코치
230,60404,송주호_1988년 07월 11일,외야수(우투좌타),181cm,75kg,0,10삼성
231,60412,안성필_1987년 07월 29일,외야수(우투우타),180cm,78kg,0,0
232,60415,박화랑_1991년 06월 18일,투수(우투우타),176cm,78kg,0,0
233,60430,레딩_1978년 02월 12일,투수(우투우타),181cm,100kg,0,0
234,60439,이규대_1986년 10월 20일,투수(우언좌타),182cm,87kg,0,0
235,60441,임진우_1987년 05월 13일,투수(우투우타),186cm,98kg,0,10삼성
236,60454,정민우_1991년 09월 24일,포수(우투좌타),177cm,93kg,0,10삼성
237,60456,백상원_1988년 01월 02일,내야수(우투좌타),177cm,76kg,0,10삼성
238,60457,김현우_1988년 01월 21일,투수(우투우타),185cm,111kg,0,10삼성
239,60461,길태곤_1991년 01월 08일,투수(우투우타),187cm,100kg,0,10삼성
240,60463,이만기_1987년 12월 02일,내야수(우투우타),cm,kg,0,0
241,60464,문선엽_1991년 07월 31일,외야수(좌투좌타),175cm,80kg,0,10삼성
242,60466,김재우_1987년 07월 04일,투수(우투우타),186cm,83kg,0,10삼성
243,60469,김형준_1984년 05월 11일,투수(우투우타),184cm,95kg,0,0
244,60481,타네다_1971년 07월 18일,(우투우타),173cm,80kg,0,10삼성코치
245,60488,오치아이_1969년 07월 25일,(우투우타),178cm,86kg,0,10삼성코치
246,60491,김종화_1991년 08월 14일,투수(우투우타),187cm,84kg,0,0
247,60493,김지훈_1991년 05월 08일,투수(우투우타),185cm,95kg,0,0
248,60495,홍효의_1989년 03월 02일,투수(우언좌타),190cm,87kg,0,13삼성
249,60496,김동은_1990년 11월 13일,내야수(우투우타),174cm,75kg,0,15KT
250,60497,이강혁_1991년 10월 23일,내야수(우투좌타),185cm,94kg,0,0
251,60523,정훈_1987년 07월 18일,외야수(우투우타),180cm,85kg,6400만원,10롯데
252,60524,현천웅_1987년 05월 18일,포수(우투우타),173cm,80kg,0,0
253,60526,변용선_1987년 05월 17일,포수(우투좌타),183cm,75kg,0,10롯데
254,60542,유동근_1987년 07월 12일,포수(우투우타),cm,kg,0,0
255,60544,홍재영_1990년 09월 25일,외야수(우투좌타),185cm,92kg,0,0
256,60550,이현준_1991년 05월 12일,투수(좌투좌타),180cm,77kg,0,10롯데
257,60554,김근호_1991년 05월 30일,투수(우투우타),189cm,90kg,0,0
258,60558,오태곤_1991년 11월 18일,내야수(우투우타),186cm,88kg,9500만원,10롯데
259,60559,박시영_1989년 03월 10일,투수(우투우타),180cm,88kg,7900만원,10롯데
260,60563,최헌주_1989년 03월 07일,투수(우투우타),cm,kg,0,0
261,60565,박승완_1988년 01월 01일,외야수(우투좌타),179cm,82kg,0,0
262,60566,이상호_1989년 02월 05일,내야수(우투우타),180cm,82kg,10000만원,13NC
263,60567,황성웅_1986년 06월 12일,투수(우언좌타),180cm,78kg,0,0
264,60594,사도스키_1982년 10월 04일,투수(우투우타),193cm,88kg,0,0
265,60605,홍재호_1987년 05월 10일,내야수(우투우타),180cm,79kg,0,10KIA
266,60630,김태훈_1987년 09월 28일,포수(우투우타),185cm,76kg,0,0
267,60634,임기준_1991년 10월 08일,투수(좌투좌타),182cm,86kg,8700만원,10KIA
268,60635,이정훈_1991년 04월 27일,투수(우투우타),183cm,87kg,0,10KIA
269,60636,심동섭_1991년 09월 20일,투수(좌투좌타),185cm,93kg,0,10KIA
270,60648,이인행_1991년 06월 30일,외야수(우투좌타),185cm,95kg,0,10KIA
271,60649,라이트_1982년 03월 13일,투수(우투우타),192cm,90kg,0,0
272,60650,로드리게스_1978년 05월 21일,투수(우투우타),188cm,85kg,0,0
273,60655,임한용_1987년 07월 15일,외야수(우투좌타),180cm,75kg,0,10KIA
274,60658,최병연_1986년 12월 21일,내야수(우투우타),178cm,83kg,0,15KIA
275,60661,박종모_1988년 02월 13일,투수(좌투좌타),178cm,86kg,0,0
276,60663,이제우_1991년 05월 10일,내야수(우투좌타),183cm,88kg,0,0
277,60667,이종환_1986년 05월 08일,외야수(좌투좌타),175cm,90kg,0,10KIA
278,60678,스키모토_1959년 05월 03일,(좌투좌타),174cm,88kg,0,10KIA코치
279,60690,변선웅_1985년 11월 29일,포수(우투우타),cm,kg,0,0
280,60692,서동수_1986년 04월 28일,외야수(좌투좌타),178cm,75kg,0,0
281,60693,이준호_1987년 09월 07일,외야수(우투우타),183cm,89kg,0,11KIA
282,60694,주도성_1992년 01월 18일,내야수(우투우타),cm,kg,0,0
283,60697,콜론_1979년 08월 13일,투수(우투우타),198cm,107kg,0,0
284,60699,장승욱_1986년 12월 03일,투수(좌투좌타),cm,kg,0,0
285,60701,조대현_1972년 10월 15일,(우투우타),178cm,77kg,0,10한화코치
286,60702,김덕영_1978년 02월 28일,(우투우타),175cm,72kg,0,0
287,60703,박재희_1983년 11월 15일,(우투우타),180cm,83kg,0,10한화코치
288,60713,안승민_1991년 06월 21일,투수(우투우타),182cm,95kg,0,10한화
289,60724,이상훈_1987년 05월 04일,외야수(우투우타),171cm,75kg,0,10한화
290,60726,카페얀_1981년 01월 13일,투수(우투우타),195cm,105kg,0,0
291,60727,부에노_1981년 03월 05일,투수(좌투좌타),176cm,80kg,0,0
292,60729,데폴라_1982년 12월 31일,투수(우투우타),187cm,95kg,0,0
293,60748,김지호_1991년 07월 17일,투수(우투우타),187cm,78kg,0,0
294,60757,김경태_1991년 02월 28일,투수(좌투좌타),183cm,90kg,3600만원,10한화
295,60759,김재우_1991년 10월 22일,외야수(우투좌타),181cm,72kg,0,0
296,60764,김용주_1991년 10월 23일,투수(좌투좌타),175cm,73kg,0,10한화
297,60766,김동빈_1991년 11월 07일,내야수(우투좌타),179cm,83kg,0,10한화
298,60768,이태양_1990년 07월 03일,투수(우투좌타),192cm,97kg,14000만원,10한화
299,60769,이동형_1991년 04월 20일,내야수(우투우타),182cm,78kg,0,0
300,60770,타카시로_1954년 05월 27일,(우투우타),168cm,77kg,0,10한화코치
301,60778,하나마스_1955년 05월 29일,(우투우타),177cm,81kg,0,0
302,60801,강성인_1964년 04월 24일,(우투우타),173cm,79kg,0,11SK코치
303,60802,홍남일_1974년 07월 23일,(우투우타),178cm,88kg,0,10SK코치
304,60803,이병국_1980년 07월 13일,(),186cm,93kg,0,10SK코치
305,60804,김회성_1979년 11월 03일,(우투우타),179cm,78kg,0,10SK코치
306,60805,최윤석_1987년 03월 28일,내야수(우투우타),175cm,75kg,0,10SK
307,60841,박종훈_1991년 08월 13일,투수(우언우타),186cm,90kg,29000만원,10SK
308,60845,문광은_1987년 11월 09일,투수(우투우타),180cm,85kg,7500만원,10SK
309,60848,최원재_1987년 04월 29일,투수(우언우타),185cm,92kg,0,10SK
310,60858,이재인_1989년 08월 16일,투수(우투우타),180cm,88kg,0,0
311,60860,김정훈_1987년 05월 23일,포수(우투우타),182cm,93kg,0,10SK
312,60864,이상백_1987년 03월 10일,투수(우투우타),180cm,100kg,0,10SK
313,60865,안정광_1989년 11월 29일,내야수(우투우타),184cm,88kg,0,10SK
314,60882,세리자와_1968년 04월 12일,(우투우타),177cm,73kg,0,10SK코치
315,60888,세키가와_1969년 04월 01일,(우투좌타),179cm,79kg,0,10SK코치
316,60891,조성우_1988년 02월 08일,내야수(우투우타),188cm,91kg,0,10SK
317,60892,방정우_1986년 12월 02일,투수(우투우타),cm,kg,0,0
318,60897,김문홍_1987년 09월 09일,외야수(우투우타),181cm,92kg,0,0
319,60911,김영수_1987년 09월 27일,투수(우투우타),183cm,80kg,0,0
